Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration,
19/05/2020,33:26.5,Discrete,KeyDown,2,2,4,7,e,Correct,E,0,6284758,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,33:26.5,Discrete,Sequence Success,2,2,4,7,NA,NA,NA,NA,0,3539192,NA,NA,NA,NA,NA,NA,NA
19/05/2020,33:26.9,Discrete,InputWindowOver,2,2,4,7,NA,NA,NA,NA,NA,3,0,3,3,Fish Escaped,NA,NA,
19/05/2020,33:45.5,Discrete,KeyDown,2,2,4,8,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
19/05/2020,33:45.6,Discrete,KeyDown,2,2,4,8,r,Correct,R,0,695501,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,33:45.8,Discrete,KeyDown,2,2,4,8,w,Correct,W,0,2222395,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,33:45.9,Discrete,KeyDown,2,2,4,8,e,Correct,E,0,5547538,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,33:45.9,Discrete,Sequence Success,2,2,4,8,NA,NA,NA,NA,0,347265,NA,NA,NA,NA,NA,NA,NA
19/05/2020,33:48.1,Discrete,InputWindowOver,2,2,5,8,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
19/05/2020,34:08.8,Discrete,KeyDown,2,2,5,9,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
19/05/2020,34:08.9,Discrete,KeyDown,2,2,5,9,r,Correct,R,0,903194,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,34:09.1,Discrete,KeyDown,2,2,5,9,w,Correct,W,0,2364205,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,34:09.2,Discrete,KeyDown,2,2,5,9,e,Correct,E,0,8304131,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,34:09.2,Discrete,Sequence Success,2,2,5,9,NA,NA,NA,NA,0,4097812,NA,NA,NA,NA,NA,NA,NA
19/05/2020,34:10.3,Discrete,KeyDown,2,2,5,9,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
19/05/2020,34:10.3,Discrete,KeyDown,2,2,5,9,r,Correct,R,0,694904,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,34:10.5,Discrete,KeyDown,2,2,5,9,w,Correct,W,0,1806122,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,34:10.6,Discrete,KeyDown,2,2,5,9,e,Correct,E,0,6236613,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,34:10.6,Discrete,Sequence Success,2,2,5,9,NA,NA,NA,NA,0,3124688,NA,NA,NA,NA,NA,NA,NA
19/05/2020,34:11.3,Discrete,InputWindowOver,2,2,5,9,NA,NA,NA,NA,NA,2,0,2,2,Fish Escaped,NA,NA,
19/05/2020,34:29.8,Discrete,KeyDown,2,2,5,10,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
19/05/2020,34:29.8,Discrete,KeyDown,2,2,5,10,r,Correct,R,0,6249841,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,34:30.1,Discrete,KeyDown,2,2,5,10,w,Correct,W,0,2429819,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,34:30.2,Discrete,KeyDown,2,2,5,10,e,Correct,E,0,8370221,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,34:30.2,Discrete,Sequence Success,2,2,5,10,NA,NA,NA,NA,0,3891825,NA,NA,NA,NA,NA,NA,NA
19/05/2020,34:32.3,Discrete,InputWindowOver,2,2,6,10,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
19/05/2020,34:51.8,Discrete,KeyDown,2,3,6,11,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
19/05/2020,34:51.9,Discrete,KeyDown,2,3,6,11,r,Correct,R,0,763284,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,34:52.1,Discrete,KeyDown,2,3,6,11,w,Correct,W,0,2222776,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,34:52.2,Discrete,KeyDown,2,3,6,11,e,Correct,E,0,7651302,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,34:52.2,Discrete,Sequence Success,2,3,6,11,NA,NA,NA,NA,0,375119,NA,NA,NA,NA,NA,NA,NA
19/05/2020,34:52.9,Discrete,KeyDown,2,3,6,11,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
19/05/2020,34:53.0,Discrete,KeyDown,2,3,6,11,r,Correct,R,0,763006,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,34:53.2,Discrete,KeyDown,2,3,6,11,w,Correct,W,0,2016471,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,34:53.2,Discrete,KeyDown,2,3,6,11,e,Correct,E,0,6930292,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,34:53.2,Discrete,Sequence Success,2,3,6,11,NA,NA,NA,NA,0,3472506,NA,NA,NA,NA,NA,NA,NA
19/05/2020,34:53.7,Discrete,KeyDown,2,3,6,11,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
19/05/2020,34:53.8,Discrete,KeyDown,2,3,6,11,r,Correct,R,0,623553,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,34:54.0,Discrete,KeyDown,2,3,6,11,w,Correct,W,0,2222646,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,34:54.1,Discrete,KeyDown,2,3,6,11,e,Correct,E,0,6955323,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,34:54.1,Discrete,Sequence Success,2,3,6,11,NA,NA,NA,NA,0,3541731,NA,NA,NA,NA,NA,NA,NA
19/05/2020,34:54.5,Discrete,InputWindowOver,2,3,6,11,NA,NA,NA,NA,NA,3,0,3,3,Fish Escaped,NA,NA,
